epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2972,1.69272,3.03092,1.54921,0.45567,0.38659,0.3752,0.17364,1.8327,2.38815,1.72036,0.000553389,0.000553389,0.000553389
2,69.533,1.7861,2.28385,1.60614,0.37345,0.4118,0.33891,0.15291,1.83068,3.38735,1.7025,0.00109808,0.00109808,0.00109808
3,94.9139,1.77643,1.98636,1.60739,0.49803,0.43425,0.42275,0.20062,1.80399,2.07239,1.64997,0.00163176,0.00163176,0.00163176
4,121.114,1.74321,1.86951,1.58459,0.57637,0.48844,0.49964,0.24389,1.69288,1.81945,1.58904,0.00161749,0.00161749,0.00161749
5,146.847,1.68809,1.74045,1.53201,0.63199,0.60799,0.62387,0.32524,1.59404,1.57221,1.48522,0.00160099,0.00160099,0.00160099
6,172.247,1.64518,1.64746,1.51585,0.68206,0.58401,0.6401,0.34207,1.55673,1.41383,1.46982,0.00158448,0.00158448,0.00158448
7,197.502,1.60126,1.57184,1.47536,0.67697,0.58421,0.62921,0.33144,1.60433,1.40713,1.45043,0.00156798,0.00156798,0.00156798
8,223.29,1.5738,1.50747,1.46218,0.68341,0.63102,0.68379,0.37,1.51473,1.34975,1.42036,0.00155148,0.00155148,0.00155148
9,252.629,1.56727,1.49759,1.4469,0.67829,0.59465,0.64926,0.36395,1.53321,1.35327,1.44953,0.00153497,0.00153497,0.00153497
10,281.44,1.51708,1.41617,1.41669,0.71594,0.67511,0.71598,0.40429,1.42819,1.25616,1.38255,0.00151847,0.00151847,0.00151847
11,307.3,1.51122,1.40111,1.41719,0.7439,0.62176,0.68486,0.39062,1.43745,1.27585,1.37082,0.00150197,0.00150197,0.00150197
12,334.543,1.48574,1.35169,1.40479,0.7667,0.64771,0.73543,0.41186,1.42458,1.18679,1.38324,0.00148546,0.00148546,0.00148546
13,364.011,1.46361,1.30645,1.38408,0.77296,0.68625,0.76347,0.43477,1.41422,1.17906,1.37671,0.00146896,0.00146896,0.00146896
14,389.06,1.46485,1.33693,1.39142,0.75905,0.67577,0.75148,0.44138,1.39176,1.1199,1.33373,0.00145246,0.00145246,0.00145246
15,414.533,1.46144,1.29095,1.38261,0.74251,0.69921,0.74923,0.42983,1.42179,1.15081,1.37067,0.00143595,0.00143595,0.00143595
16,439.838,1.43858,1.26223,1.36539,0.81256,0.70847,0.80015,0.48071,1.34876,1.04914,1.31549,0.00141945,0.00141945,0.00141945
17,469.685,1.43872,1.26437,1.36788,0.80979,0.75739,0.81966,0.47597,1.3708,1.01878,1.32794,0.00140295,0.00140295,0.00140295
18,502.781,1.41993,1.20619,1.34681,0.719,0.62451,0.68377,0.40066,1.42778,1.39898,1.38009,0.00138644,0.00138644,0.00138644
19,533.033,1.41571,1.21355,1.35247,0.8407,0.75794,0.83182,0.48569,1.3378,0.98983,1.2955,0.00136994,0.00136994,0.00136994
20,564.606,1.39792,1.19227,1.33931,0.73337,0.67993,0.74787,0.43317,1.39069,1.11575,1.36701,0.00135344,0.00135344,0.00135344
21,595.453,1.37443,1.15407,1.3117,0.8264,0.75691,0.82468,0.50067,1.30079,0.96747,1.27776,0.00133693,0.00133693,0.00133693
22,629.121,1.37926,1.13929,1.32541,0.82961,0.75273,0.82174,0.4909,1.30768,1.02356,1.28243,0.00132043,0.00132043,0.00132043
23,662.396,1.34428,1.13249,1.29941,0.80393,0.73963,0.8114,0.49638,1.30871,0.97375,1.29169,0.00130393,0.00130393,0.00130393
24,695.208,1.34376,1.09049,1.29793,0.82481,0.7445,0.83379,0.50226,1.30419,0.94061,1.27262,0.00128742,0.00128742,0.00128742
25,727.316,1.34432,1.08224,1.29189,0.81047,0.75118,0.81075,0.48718,1.34864,0.9987,1.3106,0.00127092,0.00127092,0.00127092
26,754.525,1.34198,1.07965,1.28938,0.84996,0.77579,0.85167,0.52001,1.32661,0.89271,1.28264,0.00125442,0.00125442,0.00125442
27,780.26,1.33928,1.05627,1.28868,0.79533,0.76471,0.82651,0.50725,1.30144,0.95739,1.27948,0.00123791,0.00123791,0.00123791
28,805.893,1.31144,1.0451,1.28123,0.81685,0.7907,0.84348,0.51672,1.2931,0.91635,1.27091,0.00122141,0.00122141,0.00122141
29,832.091,1.32212,1.04554,1.28692,0.8456,0.78819,0.85986,0.53604,1.24534,0.85799,1.23166,0.00120491,0.00120491,0.00120491
30,858.077,1.31218,1.03434,1.2715,0.86261,0.79994,0.87332,0.54856,1.25323,0.84239,1.23472,0.0011884,0.0011884,0.0011884
31,883.697,1.30656,1.01845,1.27776,0.84381,0.79899,0.8604,0.5296,1.25548,0.85962,1.24129,0.0011719,0.0011719,0.0011719
32,908.895,1.29759,1.01394,1.27301,0.85597,0.8033,0.86273,0.52823,1.2821,0.84617,1.25369,0.0011554,0.0011554,0.0011554
33,934.143,1.29487,0.98973,1.25848,0.86829,0.80222,0.8704,0.54123,1.24778,0.81908,1.24083,0.00113889,0.00113889,0.00113889
34,959.447,1.2721,0.96779,1.24985,0.85818,0.81441,0.87266,0.5479,1.23967,0.82232,1.23674,0.00112239,0.00112239,0.00112239
35,984.698,1.26314,0.97002,1.24707,0.8725,0.78624,0.86843,0.54691,1.24376,0.82681,1.23665,0.00110589,0.00110589,0.00110589
36,1009.76,1.26,0.96118,1.24685,0.89937,0.81869,0.89309,0.55568,1.24879,0.7891,1.23085,0.00108938,0.00108938,0.00108938
37,1035.14,1.24047,0.94743,1.23029,0.89335,0.81991,0.8857,0.56488,1.2144,0.79032,1.21848,0.00107288,0.00107288,0.00107288
38,1059.96,1.25066,0.9529,1.24118,0.86142,0.82226,0.8866,0.56592,1.22601,0.77685,1.21205,0.00105638,0.00105638,0.00105638
39,1085.13,1.24082,0.93429,1.22992,0.8737,0.79935,0.86806,0.55073,1.23265,0.80487,1.21778,0.00103987,0.00103987,0.00103987
40,1110.41,1.24141,0.93025,1.23529,0.86053,0.82626,0.88277,0.56007,1.21874,0.79384,1.22075,0.00102337,0.00102337,0.00102337
41,1136.46,1.2526,0.92892,1.23972,0.88732,0.82885,0.89381,0.57554,1.20291,0.75947,1.209,0.00100687,0.00100687,0.00100687
42,1161.9,1.22497,0.91955,1.22901,0.8857,0.82712,0.89862,0.57831,1.19293,0.77421,1.20008,0.000990365,0.000990365,0.000990365
43,1188.53,1.23001,0.90923,1.22728,0.86993,0.8454,0.89281,0.57376,1.18357,0.75775,1.19388,0.000973861,0.000973861,0.000973861
44,1215.99,1.21482,0.89134,1.21224,0.88668,0.8348,0.89842,0.57635,1.18871,0.73662,1.19664,0.000957358,0.000957358,0.000957358
45,1242.91,1.22188,0.88734,1.20937,0.9008,0.81578,0.9018,0.58025,1.16642,0.73924,1.18684,0.000940855,0.000940855,0.000940855
46,1271.83,1.19911,0.85171,1.20695,0.883,0.84092,0.90317,0.58062,1.17913,0.7192,1.19271,0.000924352,0.000924352,0.000924352
47,1297.93,1.20172,0.85944,1.20729,0.88444,0.86768,0.919,0.59088,1.18431,0.71298,1.19051,0.000907848,0.000907848,0.000907848
48,1323.73,1.19233,0.86405,1.20238,0.89202,0.84846,0.91471,0.58727,1.16273,0.72869,1.17171,0.000891345,0.000891345,0.000891345
49,1349.63,1.19832,0.85858,1.19897,0.87133,0.84462,0.90185,0.58379,1.17836,0.73218,1.18831,0.000874842,0.000874842,0.000874842
50,1375.6,1.18829,0.8553,1.19767,0.89613,0.8487,0.9071,0.58703,1.16367,0.7242,1.18014,0.000858338,0.000858338,0.000858338
51,1401.58,1.18567,0.84872,1.19759,0.90508,0.84672,0.917,0.59529,1.1704,0.70475,1.18193,0.000841835,0.000841835,0.000841835
52,1427.42,1.16507,0.83374,1.19112,0.89451,0.83648,0.90931,0.59367,1.17259,0.7194,1.19376,0.000825332,0.000825332,0.000825332
53,1453.42,1.17172,0.82734,1.18591,0.90992,0.84262,0.90545,0.58817,1.17651,0.70966,1.18972,0.000808828,0.000808828,0.000808828
54,1479.07,1.14605,0.81719,1.17508,0.88852,0.8642,0.9156,0.60085,1.14614,0.67908,1.16314,0.000792325,0.000792325,0.000792325
55,1505.02,1.16144,0.81206,1.17719,0.89315,0.84925,0.90955,0.60039,1.15705,0.68423,1.17013,0.000775822,0.000775822,0.000775822
56,1530.8,1.16408,0.80842,1.17986,0.88638,0.85291,0.91509,0.60675,1.13282,0.68786,1.16108,0.000759318,0.000759318,0.000759318
57,1557.46,1.15474,0.80108,1.17673,0.9064,0.86336,0.92341,0.60765,1.15084,0.65789,1.1751,0.000742815,0.000742815,0.000742815
58,1583.4,1.14388,0.79183,1.17106,0.91058,0.86037,0.92398,0.60999,1.13042,0.67146,1.15942,0.000726312,0.000726312,0.000726312
59,1609.22,1.14397,0.79194,1.17097,0.89326,0.86497,0.91554,0.60564,1.13028,0.68244,1.1555,0.000709809,0.000709809,0.000709809
